team,season,xgf60,xga60,ev_xgf60,ev_xga60,pp_xgf60,pp_xga60,pk_xgf60,pk_xga60,hdf,hda,hdf_percent,xgoals_percentage,corsi_percentage,fenwick_percentage,penalties_drawn_per60,penalties_taken_per60,penalty_diff,gsa_per60,save_percent,hd_save_percent
TOR,2019,3.0403579026404706,2.8574802903266177,2.5680193190965483,2.466934987452057,6.689949191146411,1.3834024411610115,1.3067602040816326,5.112244897959184,70.97,64.35,0.5244605379840378,0.52,0.52,0.51,3.012764359904893,3.0409210361656864,-0.028156676260793212,-0.26791077462144913,0.900626678603402,0.6373626373626373
STL,2019,2.6942360475754805,2.6936754199840376,2.2441339661742097,2.2068320074871317,6.716299559471366,1.3599118942731279,0.4887137989778535,5.881814310051107,70.52,67.22,0.5119790910410918,0.5,0.5,0.5,3.083451752934535,3.153530201864865,-0.07007844893033033,0.04471005041755073,0.9090909090909091,0.6789473684210526
VGK,2019,3.099575395338235,2.789409223850496,2.8441689723742223,2.258147492513371,5.785678794236184,0.7810964500634903,1.148432760364004,6.837815975733064,67.05,76.75,0.4662726008344923,0.53,0.54,0.54,3.338111262648312,3.046026527166585,0.2920847354817271,-0.11752933403907584,0.8994708994708995,0.6712328767123288
CAR,2019,3.2696625131688886,2.789842699894649,2.677308349111846,2.386268308663822,7.78866474543708,0.5936599423631124,1.2474782608695651,5.672347826086956,83.19,65.18,0.5606928624384984,0.54,0.54,0.53,3.850764703745414,3.284048388854579,0.5667163148908347,-0.01467649943691635,0.90320962888666,0.6521739130434783
BUF,2019,2.510857616263323,2.833192601207641,2.0792377712927355,2.2863962275090346,5.158711401120074,1.1430920207573345,1.0457132797371047,7.199577489583945,53.06,68.7,0.4357752956636005,0.47,0.49,0.49,2.910765211018529,3.111507639364634,-0.20074242834610523,-0.2496375483932639,0.8997668997668997,0.6105263157894737
NSH,2019,2.7719256434699715,2.818970448045758,2.4076695226924834,2.3874520406337596,5.899612384083214,0.7824934988469652,0.8984695408622587,6.5377613283985205,68.1,67.43,0.5024717774662436,0.5,0.51,0.52,3.5319351763584366,3.574833174451859,-0.04289799809342254,-0.24108674928503357,0.9007881316643487,0.6302083333333333
MTL,2019,3.105430865133258,2.798187133598354,2.7341171374356703,2.3332375943460635,5.987562731835043,1.0879336679031202,1.2405163853028798,6.619066534260178,80.34,68.95,0.5381472302230558,0.53,0.53,0.52,3.187984346238921,2.8538724496898635,0.33411189654905726,-0.2645052514346703,0.9004524886877828,0.6733668341708543
TBL,2020,2.9437937037146313,2.6424925500840883,2.3714105926844313,2.1812132804176767,6.736298210001845,0.8946300055360767,1.3743437571330746,5.922620406299932,63.02,46.75,0.574109501685342,0.53,0.52,0.52,3.8946095063877495,3.7883928834862655,0.10621662290148404,0.07559082996488968,0.9082278481012658,0.6885245901639344
CBJ,2020,2.2295932043140714,2.9010327064316312,2.0230278352808333,2.3703957160698703,3.9486728774828617,1.0377922306204956,0.9713841368584759,7.113219284603422,34.64,59.76,0.36694915254237287,0.43,0.46,0.47,2.47381682253922,2.368548021580104,0.10526880095911606,-0.32721052298125153,0.8986225895316804,0.5786163522012578
ANA,2020,2.2611721916955454,2.7857909622520354,2.0004310809354457,2.3746093329022524,5.2407483048770525,0.864635242218773,0.8314290951304454,5.885990102034582,37.74,54.36,0.40977198697068407,0.45,0.48,0.48,3.582159785501762,2.752792741567857,0.8293670439339054,-0.3375700329884172,0.8966725043782837,0.6233766233766234
CHI,2020,2.4224282646886586,2.8359750146398595,1.950043784662858,2.3988991284767107,5.8306620209059234,1.070383275261324,1.023287671232877,6.3,44.61,53.61,0.45418448381185095,0.46,0.47,0.46,2.793285184462229,3.179777474136248,-0.38649228967401905,-0.39650595354284585,0.902075572112826,0.5584415584415585
NYR,2020,2.625379752435823,2.614407487882333,2.0909630046282426,2.249435990242173,6.685027905848095,0.6617325891773841,1.0736253494874184,6.3075489282385835,53.9,49.98,0.5188679245283019,0.5,0.48,0.49,3.5925317812232698,3.8756869955068773,-0.28315521428360757,-0.12865865049011432,0.9069069069069069,0.6275862068965516
WSH,2020,2.5987002675919664,2.5981709648013642,2.260316008616229,2.1320834185730275,5.4345287739783155,0.6655546288573811,0.9577841219704792,5.298426775192857,49.14,53.47,0.47890069194035667,0.5,0.5,0.5,3.422824712559179,3.122886464551416,0.29993824800776325,-0.24242067809568632,0.9001240694789082,0.6174496644295302
VGK,2020,3.1549998036983236,2.5495465431274784,2.711710299419972,2.3641998384120972,6.076833527357392,0.8999448563200785,1.0416933932007697,4.451571520205261,62.82,49.2,0.5607927155865023,0.55,0.54,0.55,2.9327470456597697,3.4804287228612933,-0.5476816772015236,0.39415413607632216,0.9201570680628273,0.7290322580645161
PHI,2020,2.6367259439707675,2.7633617539585873,2.2624113475177303,2.2095422308188266,5.507362116296481,1.0826054404791614,0.9426832361146336,6.934313974131372,48.21,59.37,0.44813162297824877,0.49,0.52,0.52,3.3149817295980513,3.1571254567600486,0.15785627283800263,-0.6919366626065772,0.8795843520782396,0.5625
PIT,2020,2.7831458195455547,2.5805426869622767,2.1756594759624184,2.2411375997259935,6.7260823653643085,1.277296726504752,0.8549406291229775,4.56718283452538,60.35,51.09,0.5415470208183776,0.52,0.5,0.5,3.0178689609530114,2.9649238914626075,0.052945069490403895,-0.15495257004191487,0.9076281287246722,0.6346153846153846
BUF,2020,2.485092383162471,2.9239491231677586,2.139024304703118,2.4837091852839057,5.4476028850233345,0.9571489181162495,0.5358809153521439,5.9720062208398135,45.95,55.08,0.45481540136593096,0.46,0.46,0.46,2.6437153012366714,2.819962987985783,-0.1762476867491114,-0.5305055371148253,0.8962413975648491,0.63125
COL,2020,3.193879212111346,2.134580379737469,2.685539661410975,1.7775361367854665,6.966165413533835,0.6090225563909775,0.6912067848518758,5.050474115083338,64.63,39.26,0.6221002983925306,0.6,0.58,0.58,3.5694730143696445,4.066713036271883,-0.4972400219022388,-0.20955115208737213,0.9072382290934645,0.7155172413793103
NJD,2020,2.548859807225139,2.9039652064885195,2.3161398857468956,2.4139386409706165,4.415765884524124,0.8043764829949908,0.6788103031165504,7.851145581329159,41.18,57.16,0.4187512711002644,0.47,0.5,0.49,2.627145208055795,2.9974139957683565,-0.37026878771256166,-0.4284538829245359,0.8913168487636572,0.5921052631578947
FLA,2020,3.1134031705373686,2.552385235443929,2.449534690868884,2.1074357320556527,6.790383987816817,0.9143913847492657,1.075410667850574,5.979831293207332,66.1,47.47,0.5820198996213789,0.55,0.53,0.53,3.7131362705368796,4.100287919597597,-0.3871516490607174,-0.10488290129099447,0.9100119189511323,0.6287878787878788
VAN,2020,2.6266117214315923,3.250115562024843,2.2898672326143825,2.824021519174769,5.900690209743349,1.2013670173557596,0.574501300954033,5.772072853425845,48.91,60.58,0.4467074618686638,0.45,0.47,0.47,3.5760299772809976,3.2750769593910127,0.30095301788998485,-0.06036763476499104,0.9,0.6257309941520468
CAR,2020,3.17310927648037,2.5130323260202765,2.5788556508945315,2.1961517356986513,7.361719718892104,1.4336502687060768,1.3933143669985775,4.07325746799431,67.19,41.35,0.6190344573429151,0.56,0.54,0.54,3.3881609425212247,3.1423876099031047,0.24577333261811996,0.16063042810398565,0.9152435167615434,0.688
LAK,2020,2.3503689102768917,2.905843086557509,2.0114505688505298,2.475970969007454,5.082148879788003,0.8802698145025294,0.6903669724770642,6.006880733944954,47.54,62.48,0.4321032539538266,0.45,0.48,0.48,3.025998220579344,3.2029571808471418,-0.17695896026779767,-0.08476334196827505,0.9032073310423826,0.7135135135135136
